DEBUG [2016-11-26 20:58:21] [test.cpp:66]--->result: 14, 0KB -1ms
DEBUG [2016-11-26 20:59:42] [test.cpp:66]--->result: 6, 2020KB 0ms
DEBUG [2016-11-26 21:04:15] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:05:58] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:09:39] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:09:42] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:09:48] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:09:52] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:10:00] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:12:19] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:13:12] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:18:53] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:19:55] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:20:33] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:22:09] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:22:51] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:23:27] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:23:33] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:24:19] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:30:27] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-26 21:30:54] [test.cpp:66]--->result: 8, 0KB 0ms
DEBUG [2016-11-26 21:38:01] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 00:15:49] [test.cpp:66]--->result: 14, 0KB -1ms
DEBUG [2016-11-28 00:17:58] [test.cpp:66]--->result: 14, 0KB -1ms
DEBUG [2016-11-28 00:20:00] [test.cpp:66]--->result: 14, 0KB -1ms
DEBUG [2016-11-28 00:21:06] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 00:22:07] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 00:24:53] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:12:34] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:13:03] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:39:08] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:39:08] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:44:48] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:50:32] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:50:32] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:52:15] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 01:52:16] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:03:13] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:03:14] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:05:44] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:12:55] [test.cpp:66]--->result: 8, 0KB 0ms
DEBUG [2016-11-28 02:13:25] [test.cpp:66]--->result: 8, 0KB 0ms
DEBUG [2016-11-28 02:13:56] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:00] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:04] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:07] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:11] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:15] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:18] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:22] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:26] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:29] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:33] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:36] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:40] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:44] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:47] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:51] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:54] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:14:58] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:02] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:05] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:09] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:13] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:31] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:34] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:38] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:42] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:45] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:49] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:53] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:15:54] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:16:22] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:16:59] [test.cpp:66]--->result: 2, 2020KB 0ms
DEBUG [2016-11-28 02:19:26] [test.cpp:66]--->result: 2, 2288KB 0ms
